name,ab_hours,ab_minutes,audiobook_length_(minutes),author,author_gender,completed_record,cost,count_complete,created_time,dashboard_stats_link,fanfic,finished,format,genre,genre_link,goodreads_link,id,lgbt,last_edited,narrator_(old),narrators,poc_author?,page_count,physical_copy_owned,publisher,rating,reread,series,source,spice,status,trope,word_count,ya
Something to Talk About,9.0,7.0,547,Meryl Wilsner,Female,Yes,$16.00,1,"January 19, 2021 9:25 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"February 14, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/45892636-something-to-talk-about,LIB-4,YES,"October 16, 2025 1:45 PM","Jorjeana Marie, Xe Sands","Jorjeana Marie (https://www.notion.so/Jorjeana-Marie-28e8d7a063c98083a072d0b77e8cda29?pvs=21), Xe Sands (https://www.notion.so/Xe-Sands-28e8d7a063c980d08848c65bd1bca848?pvs=21)",NO,366.0,NO,"Books on Tape, Penguin Audio",8.5,NO,,Libby,🌶🌶,Complete,"Coworkers/Workplace, Power Dynamic",86181.0,NO
"Red, White & Royal Blue",12.0,15.0,735,Casey McQuiston,Female,Yes,$16.99,1,"January 22, 2021 11:29 PM","Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"January 3, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/41150487-red-white-royal-blue,LIB-7,YES,"October 16, 2025 1:57 PM",Ramon de Ocampo,Ramon de Ocampo (https://www.notion.so/Ramon-de-Ocampo-28e8d7a063c980dfa17edfe960095c6e?pvs=21),NO,421.0,YES,Macmillan Audio,9.7,YES,,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Fake Relationship",111331.0,NO
Majesty (#2),12.0,39.0,759,Katharine McGee,Female,Yes,$12.99,1,"January 22, 2021 11:32 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 9, 2021",Audiobook,Lit Fiction,Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21),https://www.goodreads.com/book/show/51518972-majesty,LIB-8,NO,"October 16, 2025 10:24 AM",Brittany Pressley,Brittany Pressley (https://www.notion.so/Brittany-Pressley-28e8d7a063c980cb82b9c794b7f89e03?pvs=21),NO,374.0,NO,"Books on Tape, Listening Library",7.0,NO,American Royals,Libby,❌,Complete,,103543.0,NO
This Time Next Year,10.0,29.0,629,Sophie Cousens,Female,Yes,$17.00,1,"January 22, 2021 11:34 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 10, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/48656130-this-time-next-year?ac=1&from_search=true&qid=3obReftrZS&rank=1,LIB-9,NO,"October 16, 2025 1:41 PM",Hannah Arterton,Hannah Arterton (https://www.notion.so/Hannah-Arterton-28e8d7a063c98076b695d583220068ca?pvs=21),NO,352.0,NO,"Books on Tape, Penguin Audio",8.1,NO,,Libby,🌶🌶,Complete,Second Chance,112553.0,NO
Twice in a Blue Moon,8.0,29.0,509,Christina Lauren,Female,Yes,$17.99,1,"January 22, 2021 11:36 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 11, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/45186670-twice-in-a-blue-moon?ac=1&from_search=true&qid=24qwxnBExG&rank=1,LIB-10,NO,"October 16, 2025 1:40 PM",Erin Mallon,"Erin Mallon (https://www.notion.so/Erin-Mallon-28e8d7a063c980fb9a91da562b3fbada?pvs=21), Joe Arden (https://www.notion.so/Joe-Arden-28e8d7a063c9800088addbe0ec8d9bb3?pvs=21)",NO,358.0,NO,Simon & Schuster Audio,6.0,NO,,Libby,🌶🌶,Complete,Second Chance,85475.0,NO
The Wedding Party,,,0,Jasmine Guillory,,,$15.00,0,"January 22, 2021 11:37 PM",DNF (https://www.notion.so/DNF-27e859d35ceb47ac9c08b31d22496b07?pvs=21),,"May 30, 2021",Audiobook,Contemporary Romance,,https://www.goodreads.com/book/show/42455873-the-wedding-party,LIB-11,,"July 17, 2024 8:36 PM",,,,351.0,NO,,,,,Libby,,DNF,Enemies/Rivals to Lovers,,
The Invisible Life of Addie Larue ,17.0,10.0,1030,VE Schwab,Female,Yes,$19.99,1,"January 22, 2021 11:43 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 23, 2021","Audiobook, Ebook","Magical Realism, Romance","Romance (https://www.notion.so/Romance-a1f5cb3c60e24916a3adf803af4ad445?pvs=21), Magical Realism (https://www.notion.so/Magical-Realism-2318d7a063c980e98f20eb1e97bf4df7?pvs=21)",https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,LIB-12,NO,"October 16, 2025 1:46 PM",Julia Whelan,Julia Whelan (https://www.notion.so/Julia-Whelan-28e8d7a063c980f784c4fcafe38face3?pvs=21),NO,448.0,NO,Macmillan Audio,8.4,NO,,Libby,🌶,Complete,Forbidden Love,151096.0,NO
TikTok Recommendations,,,0,,,,,0,"January 22, 2021 11:44 PM",,,,,,,,LIB-13,,"April 18, 2023 10:16 AM",,,,,,,,,,,,List,,,
Severance,9.0,54.0,594,Ling Ma,Female,Yes,$18.00,1,"January 23, 2021 10:01 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 23, 2021",Audiobook,Lit Fiction,Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21),https://www.goodreads.com/book/show/36348525-severance?ac=1&from_search=true&qid=jAsRPT6pMF&rank=1,LIB-15,NO,"October 16, 2025 1:55 PM",Nancy Wu,Nancy Wu (https://www.notion.so/Nancy-Wu-28e8d7a063c9809f9a50e6ddefbc007e?pvs=21),YES,291.0,NO,Macmillan Audio,6.8,NO,,Libby,❌,Complete,,85390.0,NO
Bringing Down the Duke,,,0,Evie Dunmore,Female,Yes,$14.99,1,"January 23, 2021 10:30 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"June 4, 2021",Ebook,Historical Romance,Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21),https://www.goodreads.com/book/show/43521785-bringing-down-the-duke?ac=1&from_search=true&qid=E4SdyaeCOA&rank=1,LIB-16,NO,"July 17, 2024 8:36 PM",,,NO,368.0,NO,,6.5,NO,League of Extraordinary Women,Library Genesis,🌶🌶,Complete,"Enemies/Rivals to Lovers, Forbidden Love, Love at first sight",97728.0,NO
Pride and Prejudice ,12.0,30.0,750,Jane Austen,Female,Yes,$12.99,1,"January 26, 2021 10:27 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 24, 2021",Audiobook,Historical Romance,Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21),https://www.goodreads.com/book/show/1885.Pride_and_Prejudice?ac=1&from_search=true&qid=3r90mE0aqZ&rank=1,LIB-17,NO,"October 16, 2025 1:45 PM",Josephine Bailey,Bailey Carr (https://www.notion.so/Bailey-Carr-28e8d7a063c9805c9e4dd0e31db804ed?pvs=21),NO,279.0,NO,"Tantor Audio, Tantor Media Inc",6.4,NO,,Libby,❌,Complete,"Enemies/Rivals to Lovers, Love at first sight",122189.0,NO
